"LAT","LON","YYYYMMDD","YEAR","MO","DY","WangEngel","exp","env"
"18.0054",-66.3832,"2015-01-01",2015,1,1,14.5839777728268,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-02",2015,1,2,14.5244869660856,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-03",2015,1,3,14.2536671379891,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-04",2015,1,4,14.4678910491677,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-05",2015,1,5,14.2421143439979,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-06",2015,1,6,14.3202702153585,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-07",2015,1,7,14.0445104268468,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-08",2015,1,8,13.8293194781782,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-09",2015,1,9,13.8698821524498,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-10",2015,1,10,14.3994858308446,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-11",2015,1,11,14.3078360239205,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-12",2015,1,12,14.2386555465122,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-13",2015,1,13,14.3093827066065,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-14",2015,1,14,14.3413843734723,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-15",2015,1,15,14.5771870621467,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-16",2015,1,16,14.6963834431514,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-17",2015,1,17,14.8800005323769,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-18",2015,1,18,14.8310798539413,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-19",2015,1,19,14.7556018274269,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-20",2015,1,20,14.074152292384,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-21",2015,1,21,14.1424425472392,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-22",2015,1,22,14.3715487001395,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-23",2015,1,23,14.4141229931853,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-24",2015,1,24,14.1126015589686,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-25",2015,1,25,14.1630637212212,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-26",2015,1,26,14.5193780391827,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-27",2015,1,27,14.6455747865583,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-28",2015,1,28,14.4073475879207,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-29",2015,1,29,14.2219863215273,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-30",2015,1,30,13.8201816739604,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-01-31",2015,1,31,14.1836997055231,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-01",2015,2,1,13.957608341264,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-02",2015,2,2,14.1492926982985,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-03",2015,2,3,14.3475130476286,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-04",2015,2,4,14.5817167166103,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-05",2015,2,5,14.2701502721684,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-06",2015,2,6,14.3440925633933,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-07",2015,2,7,14.5628237006736,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-08",2015,2,8,14.4609124008935,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-09",2015,2,9,14.4675315912084,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-10",2015,2,10,14.6546139415029,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-11",2015,2,11,15.2186655921536,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-12",2015,2,12,14.2241871114594,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-13",2015,2,13,14.5322801286295,"ATLAS","2015_PR"
