genotype	BLUE_Ptip	BLUE_FLN	TTem_ti
2369	38.6	18.2	283.1
17g	44.1	18.4	329.7
ANTIGP1_SSD03	55.3	20.1	467.5
ANTIGP2_HD201	52.3	19.8	433.5
ANTIGP2_SSD01	41.7	20.4	358.3
ATPS425W	32.7	18.6	247.7
B104	31.7	19.0	246.7
B107	46.7	16.8	305.1
B14a	42.2	19.1	330.9
B37	35.3	17.7	248.6
B73	36.9	19.6	300.4
BA90	33.3	18.1	242.3
BOLI711_SSD01	41.2	22.7	408.0
BOLI905_SSD03	47.5	20.3	404.7
BOZM0214_SSD01	44.8	13.1	196.6
BRVI104_HD128	45.8	19.5	369.9
BRVI117_SSD01	37.4	18.6	283.5
BRVI139_SSD01	33.7	20.5	293.3
BRVI142_HD105	48.9	16.7	317.4
BRVI142_HD105	48.9	16.7	315.2
CAL14113	47.4	21.2	430.3
CAL1440	49.8	18.8	384.0
CAL1469	44.2	16.4	278.3
CAL152	36.2	20.7	318.5
CamInb117	34.8	22.3	338.0
CHIH207_SSD01	36.1	14.5	187.1
CHIH218_SSD01	37.8	15.6	221.6
CL_G1839	39.9	17.2	270.5
CL_RCY007	33.4	21.6	311.1
CLA105	47.9	17.0	319.4
CLA127	45.9	20.0	384.9
CLA135	49.8	17.6	347.3
CLA158	42.8	17.7	302.4
CLA17	46.8	18.7	357.6
CLA18	43.8	18.9	337.7
CLA222	34.6	18.3	256.5
CLA35	46.3	19.3	370.1
CLA41	43.9	19.2	347.5
CLA44	43.1	16.9	284.2
CLA46	46.4	16.1	284.5
CML10	40.5	21.2	367.4
CML103	41.5	20.2	352.4
CML108	34.7	20.1	292.6
CML120	46.3	20.0	386.9
CML139	45.4	18.1	329.8
CML14	36.6	20.5	317.5
CML141	32.8	21.9	311.7
CML159	34.8	18.8	267.0
CML163	41.7	19.5	336.8
CML165	42.5	17.6	296.9
CML171	40.5	19.5	327.6
CML190	44.5	20.1	375.5
CML196	47.1	22.8	471.3
CML208	41.2	24.4	451.1
CML228	37.8	17.5	262.1
CML238	32.7	23.5	339.2
CML246	35.7	17.5	248.1
CML247	41.8	21.6	388.8
CML254	36.6	21.3	334.3
CML258	38.5	22.5	379.3
CML261	38.1	20.3	326.2
CML277	53.7	18.4	398.7
CML281	36.6	23.7	385.8
CML287	40.8	20.7	359.1
CML312	36.5	20.1	307.6
CML320	32.3	21.9	305.9
CML321	52.4	20.4	449.8
CML322	35.8	18.5	269.9
CML328	41.2	15.1	229.0
CML331	48.8	20.2	415.1
CML333	46.1	18.6	348.0
CML341	44.7	19.1	351.2
CML344	39.1	22.4	381.4
CML373	42.9	20.3	367.9
CML38	51.8	19.1	407.9
CML407	46.2	21.3	422.4
CML424	38.0	18.3	280.0
CML440	40.5	17.0	268.9
CML442	49.0	18.8	376.6
CML444	52.6	19.9	436.8
CML445	44.0	18.5	331.3
CML450	43.2	19.5	350.7
CML456	37.3	15.1	205.9
CML460	39.2	17.4	270.4
CML471	40.3	17.5	280.5
CML473	43.2	18.7	329.8
CML488	39.0	19.4	312.6
CML489	40.7	20.4	350.4
CML491	44.2	21.3	402.3
CML496	40.5	19.1	318.6
CML5	44.2	20.2	375.3
CML504	43.0	20.3	368.6
CML505	41.5	16.4	260.9
CML51	50.0	18.7	381.0
CML52	51.3	20.7	451.6
CML536	43.2	19.0	337.9
CML537	44.3	21.1	399.2
CML538	43.7	18.6	330.0
CML540	43.6	16.8	284.5
CML541	38.8	18.8	298.8
CML542	36.7	17.0	243.9
CML544	43.6	18.8	336.2
CML545	40.5	18.3	299.0
CML547	47.3	18.9	365.2
CML548	43.3	19.4	347.1
CML549	45.7	20.5	397.1
CML550	36.2	19.7	297.3
CML566	37.4	21.3	341.5
CML568	43.4	20.3	370.0
CML570	41.7	18.7	318.2
CML576	42.9	19.9	357.3
CML587	33.3	18.2	245.1
CML589	35.9	20.5	312.0
CML591	34.7	21.7	325.8
CML592	44.6	19.3	354.4
CML593	40.8	21.8	384.6
CML67	49.5	19.8	409.3
CML69	48.3	19.1	380.7
CML72	45.0	18.8	346.6
CML89	33.8	15.8	200.9
CML91	49.6	20.5	428.8
CML92	41.4	18.4	308.6
CUBA44_SSD01	41.0	21.5	380.0
CUBA54_HD102	35.6	18.8	273.0
CUBA54_HD105	38.3	20.1	322.9
CZL_146	37.6	21.1	339.4
CZL_148	48.9	18.5	366.7
CZL_155	37.0	20.8	326.9
CZL_156	49.0	21.1	440.1
CZL_157	42.6	20.0	356.6
CZL_160	44.2	21.3	403.6
CZL_161	36.7	20.2	312.3
CZL_163	36.0	20.6	313.1
CZL_164	35.9	20.8	317.9
CZL_165	40.4	18.3	300.0
CZL_168	58.3	17.2	394.1
CZL_170	39.7	21.0	356.6
CZL_177	42.8	20.0	357.7
CZL04021	38.6	18.5	289.1
CZL0814	40.2	19.9	334.3
CZL1358	47.0	19.6	383.3
CZL1368	40.0	19.0	311.3
CZL1423	40.4	20.2	343.1
CZL1461	43.5	20.6	378.9
CZL1465	51.3	21.5	473.0
CZL15003	39.2	18.1	286.3
CZL15007	50.3	20.5	434.7
CZL15081	43.9	23.0	444.7
CZL15082	36.9	20.5	318.7
CZL15085	43.5	20.8	383.7
CZL15123	45.3	18.7	345.8
CZL15146	55.8	18.1	404.8
CZL15147	33.4	18.6	253.8
CZL15152	42.1	21.0	376.2
CZL15153	44.6	18.5	335.7
CZL15167	43.2	20.9	384.9
CZL15194	33.9	18.9	263.2
CZL15202	42.8	18.5	321.1
CZL15206	37.2	20.6	323.8
CZL15224	41.0	18.8	314.1
CZL15225	39.4	19.0	306.6
CZL15229	42.3	17.8	301.0
CZL16017	37.2	20.5	322.1
CZL16020	43.7	20.6	382.6
CZL16078	43.6	21.7	409.0
CZL16132	43.7	20.8	387.6
CZL17015	39.5	17.2	267.5
CZL19032	45.6	16.9	300.6
CZL19042	48.6	19.5	393.6
CZL19049	42.9	15.8	255.5
CZL19058	43.3	17.5	301.2
CZL20001	43.0	21.2	389.3
CZL20003	44.0	18.9	341.4
CZL20004	41.0	22.0	391.0
CZL21060	42.1	19.0	328.8
D06	36.6	16.8	239.6
DK4676A	35.9	18.4	267.5
DTMA_1	35.9	20.6	312.2
DTMA_100	46.0	19.5	372.3
DTMA_128	44.8	20.1	379.1
DTMA_133	44.8	18.7	341.3
DTMA_135	52.2	22.0	496.9
DTMA_136	40.0	19.0	311.9
DTMA_14	43.9	20.2	373.4
DTMA_144	40.9	18.8	314.4
DTMA_165	34.8	18.3	256.9
DTMA_166	42.6	21.0	381.9
DTMA_167	41.5	16.5	264.4
DTMA_179	39.6	22.4	387.7
DTMA_18	38.5	17.1	257.3
DTMA_188	46.4	18.4	346.5
DTMA_204	34.4	17.9	246.7
DTMA_217	46.5	17.8	331.2
DTMA_219	40.3	18.9	312.1
DTMA_231	41.4	15.8	247.3
DTMA_236	30.4	19.1	239.9
DTMA_24	46.7	19.6	380.4
DTMA_247	42.4	19.8	350.7
DTMA_249	47.4	19.3	378.6
DTMA_252	44.7	21.6	415.9
DTMA_281	37.2	20.0	312.0
DTMA_283	40.8	21.4	374.7
DTMA_29	43.1	18.1	313.2
DTMA_33	45.6	20.6	397.6
DTMA_35	44.7	18.1	324.0
DTMA_7	39.3	20.2	334.3
DTMA_91	47.1	20.1	398.4
DTMA_98	46.2	19.7	378.0
EA3076	34.5	17.2	234.4
ECUA476_SSD01	37.9	16.7	246.0
ECUA500_SSD01	38.0	18.0	275.0
F252	42.9	15.1	239.0
F2834T	42.4	18.0	305.0
FP1	30.1	15.3	169.9
G14	36.9	19.8	305.7
G31	43.1	18.1	314.0
G71	40.4	15.7	239.2
GCP_110	35.9	17.2	241.9
GCP_111	43.2	18.6	328.5
GCP_113	40.1	20.4	344.6
GCP_121	31.7	20.5	274.1
GCP_124	49.1	15.9	293.7
GCP_129	51.1	18.7	389.4
GCP_139	38.7	16.1	236.5
GCP_161	34.1	20.0	285.3
GCP_165	37.6	18.2	276.4
GCP_189	37.8	19.0	294.6
GCP_193	42.2	19.9	351.1
GCP_198	50.1	17.4	345.1
GCP_201	40.5	18.4	302.6
GCP_203	40.7	19.5	329.2
GFO059_HD114	37.3	20.5	323.1
GREN2_HD101	42.1	17.4	288.5
GUAD6_HD201	41.3	18.0	298.4
GUAD6_SSD01	34.9	19.4	280.9
GUAT36_SSD01	48.0	21.8	451.6
GUAT606_SSD01	43.6	14.5	226.0
H16	35.3	21.2	319.3
K64R	41.8	20.0	351.2
Ki11	38.0	17.4	261.9
Ki14	42.6	20.8	377.3
Ki3	36.1	19.1	282.5
Ki44	45.4	19.0	353.4
LH123Ht	40.5	17.8	287.6
LH195	36.7	18.3	270.9
Lo904	37.5	19.7	308.0
