country	loc	year	env	lat	lon	genotype	set	project	date_planted	date_emerged	bvpti_platform	BLUE_DTA	SE_DTA	BLUE_DTA_date	BLUE_DTA_Tt_EqS2	BLUE_DTA_em_Tt_EqS2	BLUE_DTA_em_Tt_EqS2_adjusted	date_DLs	doy_DLs	daylength_DLs
france	Fra	2023	2023_Fra	43.5704	-1.3005	2369	control_group2	PhotoGrid	6/8/23	6/15/23	283.11	66.10	1.10	8/13/23	725.67	646.80	748.60	7/10/23	191	16.42
france	Fra	2023	2023_Fra	43.5704	-1.3005	B37	control_group1	PhotoGrid	6/8/23	6/15/23	248.57	67.60	1.60	8/14/23	737.18	658.32	760.12	7/7/23	188	16.49
france	Fra	2023	2023_Fra	43.5704	-1.3005	B73	control_group1	PhotoGrid	6/8/23	6/15/23	300.39	66.20	0.50	8/13/23	725.67	646.80	748.60	7/11/23	192	16.40
france	Fra	2023	2023_Fra	43.5704	-1.3005	CML10	test_genotype	PhotoGrid	6/8/23	6/15/23	367.36	86.00	0.80	9/2/23	954.86	875.99	977.79	7/17/23	198	16.24
france	Fra	2023	2023_Fra	43.5704	-1.3005	CML258	test_genotype	PhotoGrid	6/8/23	6/15/23	379.34	96.30	0.80	9/12/23	1082.06	1003.19	1104.99	7/18/23	199	16.21
france	Fra	2023	2023_Fra	43.5704	-1.3005	CML277	test_genotype	PhotoGrid	6/8/23	6/15/23	398.71	88.00	0.80	9/4/23	977.75	898.88	1000.68	7/20/23	201	16.14
france	Fra	2023	2023_Fra	43.5704	-1.3005	CML341	test_genotype	PhotoGrid	6/8/23	6/15/23	351.15	86.10	1.10	9/2/23	954.86	875.99	977.79	7/16/23	197	16.27
france	Fra	2023	2023_Fra	43.5704	-1.3005	CML373	test_genotype	PhotoGrid	6/8/23	6/15/23	367.91	81.80	1.10	8/28/23	910.83	831.96	933.76	7/17/23	198	16.24
france	Fra	2023	2023_Fra	43.5704	-1.3005	LH123Ht	control_group2	PhotoGrid	6/8/23	6/15/23	287.64	75.20	1.60	8/22/23	845.66	766.80	868.60	7/10/23	191	16.42
france	Fra	2023	2023_Fra	43.5704	-1.3005	M37W	control_group1	PhotoGrid	6/8/23	6/15/23	358.92	77.10	1.60	8/24/23	873.19	794.32	896.12	7/17/23	198	16.24
france	Fra	2023	2023_Fra	43.5704	-1.3005	Mo17	control_group1	PhotoGrid	6/8/23	6/15/23	277.97	64.80	1.60	8/11/23	701.89	623.02	724.82	7/9/23	190	16.44
france	Fra	2023	2023_Fra	43.5704	-1.3005	Oh43	control_group1	PhotoGrid	6/8/23	6/15/23	240.21	61.10	1.60	8/8/23	664.78	585.92	687.72	7/6/23	187	16.50
france	Fra	2023	2023_Fra	43.5704	-1.3005	Tzi8	test_genotype	PhotoGrid	6/8/23	6/15/23	266.38	89.30	0.80	9/5/23	990.97	912.11	1013.91	7/9/23	190	16.44
france	Fra	2023	2023_Fra	43.5704	-1.3005	Tzi9	test_genotype	PhotoGrid	6/8/23	6/15/23	302.48	78.30	0.80	8/25/23	885.20	806.34	908.14	7/11/23	192	16.40
usa	WI	2015	2015_WI	43.0624	-89.5337	2369	control_group2	Maize ATLAS	4/28/15	5/10/15	283.11	93.40	0.30	7/30/15	850.20	777.02	786.87	6/15/15	166	16.52
usa	WI	2015	2015_WI	43.0624	-89.5337	CML10	test_genotype	Maize ATLAS	4/28/15	5/10/15	367.36	115.10	0.80	8/21/15	1124.84	1051.66	1061.51	6/23/15	174	16.55
usa	WI	2015	2015_WI	43.0624	-89.5337	CML258	test_genotype	Maize ATLAS	4/28/15	5/10/15	379.34	112.70	1.80	8/18/15	1097.74	1024.57	1034.41	6/25/15	176	16.55
usa	WI	2015	2015_WI	43.0624	-89.5337	CML277	test_genotype	Maize ATLAS	4/28/15	5/10/15	398.71	108.90	0.80	8/14/15	1040.35	967.18	977.02	6/27/15	178	16.54
usa	WI	2015	2015_WI	43.0624	-89.5337	CML341	test_genotype	Maize ATLAS	4/28/15	5/10/15	351.15	110.80	0.50	8/16/15	1070.78	997.61	1007.45	6/22/15	173	16.55
usa	WI	2015	2015_WI	43.0624	-89.5337	CML373	test_genotype	Maize ATLAS	4/28/15	5/10/15	367.91	111.50	0.50	8/17/15	1084.78	1011.61	1021.45	6/24/15	175	16.55
usa	WI	2015	2015_WI	43.0624	-89.5337	LH123Ht	control_group2	Maize ATLAS	4/28/15	5/10/15	287.64	96.00	0.30	8/2/15	890.23	817.06	826.90	6/16/15	167	16.53
usa	WI	2015	2015_WI	43.0624	-89.5337	Tzi8	test_genotype	Maize ATLAS	4/28/15	5/10/15	266.38	113.40	0.50	8/19/15	1106.21	1033.04	1042.88	6/14/15	165	16.51
usa	WI	2015	2015_WI	43.0624	-89.5337	Tzi9	test_genotype	Maize ATLAS	4/28/15	5/10/15	302.48	104.00	0.50	8/10/15	986.66	913.49	923.34	6/17/15	168	16.54
usa	WI	2016	2016_WI	43.0624	-89.5337	2369	control_group2	Maize ATLAS	5/5/16	5/22/16	283.11	81.80	0.20	7/25/16	809.53	732.58	781.61	6/18/16	170	16.55
usa	WI	2016	2016_WI	43.0624	-89.5337	CML10	test_genotype	Maize ATLAS	5/5/16	5/22/16	367.36	NA	NA	NA	NA	NA	NA	6/25/16	177	16.54
usa	WI	2016	2016_WI	43.0624	-89.5337	CML258	test_genotype	Maize ATLAS	5/5/16	5/22/16	379.34	NA	NA	NA	NA	NA	NA	6/26/16	178	16.54
usa	WI	2016	2016_WI	43.0624	-89.5337	CML277	test_genotype	Maize ATLAS	5/5/16	5/22/16	398.71	NA	NA	NA	NA	NA	NA	6/28/16	180	16.52
usa	WI	2016	2016_WI	43.0624	-89.5337	CML341	test_genotype	Maize ATLAS	5/5/16	5/22/16	351.15	NA	NA	NA	NA	NA	NA	6/24/16	176	16.55
usa	WI	2016	2016_WI	43.0624	-89.5337	CML373	test_genotype	Maize ATLAS	5/5/16	5/22/16	367.91	NA	NA	NA	NA	NA	NA	6/25/16	177	16.54
usa	WI	2016	2016_WI	43.0624	-89.5337	LH123Ht	control_group2	Maize ATLAS	5/5/16	5/22/16	287.64	85.80	0.20	7/29/16	860.08	783.14	832.16	6/18/16	170	16.55
