country	env	year	loc	lat	lon	genotype	set	project	date_planted	date_emerged	BLUE_DTA	SE_DTA
france	2023_Fra	2023	Fra	43.5704	-1.3005	2369	control_group2	PhotoGrid	6/8/23	6/15/23	66.1	1.1
france	2023_Fra	2023	Fra	43.5704	-1.3005	B37	control_group1	PhotoGrid	6/8/23	6/15/23	67.6	1.6
france	2023_Fra	2023	Fra	43.5704	-1.3005	B73	control_group1	PhotoGrid	6/8/23	6/15/23	66.2	0.5
france	2023_Fra	2023	Fra	43.5704	-1.3005	CML10	test_genotype	PhotoGrid	6/8/23	6/15/23	86	0.8
france	2023_Fra	2023	Fra	43.5704	-1.3005	CML258	test_genotype	PhotoGrid	6/8/23	6/15/23	96.3	0.8
france	2023_Fra	2023	Fra	43.5704	-1.3005	CML277	test_genotype	PhotoGrid	6/8/23	6/15/23	88	0.8
france	2023_Fra	2023	Fra	43.5704	-1.3005	CML341	test_genotype	PhotoGrid	6/8/23	6/15/23	86.1	1.1
france	2023_Fra	2023	Fra	43.5704	-1.3005	CML373	test_genotype	PhotoGrid	6/8/23	6/15/23	81.8	1.1
france	2023_Fra	2023	Fra	43.5704	-1.3005	LH123Ht	control_group2	PhotoGrid	6/8/23	6/15/23	75.2	1.6
france	2023_Fra	2023	Fra	43.5704	-1.3005	M37W	control_group1	PhotoGrid	6/8/23	6/15/23	77.1	1.6
france	2023_Fra	2023	Fra	43.5704	-1.3005	Mo17	control_group1	PhotoGrid	6/8/23	6/15/23	64.8	1.6
france	2023_Fra	2023	Fra	43.5704	-1.3005	Oh43	control_group1	PhotoGrid	6/8/23	6/15/23	61.1	1.6
france	2023_Fra	2023	Fra	43.5704	-1.3005	Tzi8	test_genotype	PhotoGrid	6/8/23	6/15/23	89.3	0.8
france	2023_Fra	2023	Fra	43.5704	-1.3005	Tzi9	test_genotype	PhotoGrid	6/8/23	6/15/23	78.3	0.8
usa	2015_WI	2015	WI	43.0624	-89.5337	2369	control_group2	Maize ATLAS	4/28/15	5/10/15	93.4	0.3
usa	2015_WI	2015	WI	43.0624	-89.5337	CML10	test_genotype	Maize ATLAS	4/28/15	5/10/15	115.1	0.8
usa	2015_WI	2015	WI	43.0624	-89.5337	CML258	test_genotype	Maize ATLAS	4/28/15	5/10/15	112.7	1.8
usa	2015_WI	2015	WI	43.0624	-89.5337	CML277	test_genotype	Maize ATLAS	4/28/15	5/10/15	108.9	0.8
usa	2015_WI	2015	WI	43.0624	-89.5337	CML341	test_genotype	Maize ATLAS	4/28/15	5/10/15	110.8	0.5
usa	2015_WI	2015	WI	43.0624	-89.5337	CML373	test_genotype	Maize ATLAS	4/28/15	5/10/15	111.5	0.5
usa	2015_WI	2015	WI	43.0624	-89.5337	LH123Ht	control_group2	Maize ATLAS	4/28/15	5/10/15	96	0.3
usa	2015_WI	2015	WI	43.0624	-89.5337	Tzi8	test_genotype	Maize ATLAS	4/28/15	5/10/15	113.4	0.5
usa	2015_WI	2015	WI	43.0624	-89.5337	Tzi9	test_genotype	Maize ATLAS	4/28/15	5/10/15	104	0.5
usa	2016_WI	2016	WI	43.0624	-89.5337	2369	control_group2	Maize ATLAS	5/5/16	5/22/16	81.8	0.2
usa	2016_WI	2016	WI	43.0624	-89.5337	CML10	test_genotype	Maize ATLAS	5/5/16	5/22/16	NA	NA
usa	2016_WI	2016	WI	43.0624	-89.5337	CML258	test_genotype	Maize ATLAS	5/5/16	5/22/16	NA	NA
usa	2016_WI	2016	WI	43.0624	-89.5337	CML277	test_genotype	Maize ATLAS	5/5/16	5/22/16	NA	NA
usa	2016_WI	2016	WI	43.0624	-89.5337	CML341	test_genotype	Maize ATLAS	5/5/16	5/22/16	NA	NA
usa	2016_WI	2016	WI	43.0624	-89.5337	CML373	test_genotype	Maize ATLAS	5/5/16	5/22/16	NA	NA
usa	2016_WI	2016	WI	43.0624	-89.5337	LH123Ht	control_group2	Maize ATLAS	5/5/16	5/22/16	85.8	0.2
usa	2016_WI	2016	WI	43.0624	-89.5337	Tzi8	test_genotype	Maize ATLAS	5/5/16	5/22/16	82.5	1.1
usa	2016_WI	2016	WI	43.0624	-89.5337	Tzi9	test_genotype	Maize ATLAS	5/5/16	5/22/16	90	0.7
usa	NY06	2006	NY	42.75796	-76.70368	B37	control_group1	Panzea	5/9/06	5/23/06	95.1	3.1
usa	NY06	2006	NY	42.75796	-76.70368	B73	control_group1	Panzea	5/9/06	5/23/06	90.6	0.4
usa	NY06	2006	NY	42.75796	-76.70368	M37W	control_group1	Panzea	5/9/06	5/23/06	100	1.3
usa	NY06	2006	NY	42.75796	-76.70368	Mo17	control_group1	Panzea	5/9/06	5/23/06	86.4	1.1
usa	NY06	2006	NY	42.75796	-76.70368	Oh43	control_group1	Panzea	5/9/06	5/23/06	85.6	1.3
usa	NY06	2006	NY	42.75796	-76.70368	Tzi8	test_genotype	Panzea	5/9/06	5/23/06	111.9	2.1
usa	NY06	2006	NY	42.75796	-76.70368	Tzi9	test_genotype	Panzea	5/9/06	5/23/06	118.3	3
usa	2006_NY	2006	NY	42.73458	-76.65701	B37	control_group1	MDR	5/24/06	5/31/06	75	3.9
usa	2006_NY	2006	NY	42.73458	-76.65701	B73	control_group1	MDR	5/24/06	5/31/06	79	3.9
usa	2006_NY	2006	NY	42.73458	-76.65701	CML10	test_genotype	MDR	5/24/06	5/31/06	104	3.9
usa	2006_NY	2006	NY	42.73458	-76.65701	CML258	test_genotype	MDR	5/24/06	5/31/06	118	3.9
usa	2006_NY	2006	NY	42.73458	-76.65701	CML341	test_genotype	MDR	5/24/06	5/31/06	112.5	3.9
usa	2006_NY	2006	NY	42.73458	-76.65701	M37W	control_group1	MDR	5/24/06	5/31/06	87	3.9
